normal_predict_amount,normal_predict_error,set,significance,timestamp
11140749.655,89061.40342030748,a=a6&c=c2&d=d1;a=a6&b=b31&c=c3,0.0037391161359004842,1450685460
3113331.625,23175.931507970723,b=b25&c=c2&d=d2;a=a6&b=b7&d=d1,8.860119918671199e-05,1450894200
9387710.7825,74446.06881938838,b=b14&c=c6&d=d8;a=a1&b=b3&c=c4,0.0006973494856373119,1451198400
8993976.605,73144.3937497,a=a2&c=c1&d=d8;a=a4&b=b6&d=d4,0.0007465292637901112,1451097900
9364599.8675,71792.04682336829,b=b31&c=c3&d=d1;a=a1&c=c2&d=d2,0.0011382245722914364,1450846200
8738563.21,70647.99980797402,a=a6&b=b16&d=d10;a=a1&b=b1&d=d10,8.895573127349875e-05,1450757400
10978382.875,100645.35720584613,a=a4&c=c2&d=d1;a=a6&b=b32&d=d1,0.0016956603429833053,1450752600
4553097.5275,33536.713578961266,a=a6&b=b16&d=d2;a=a4&b=b11&d=d3,0.0015201536933117019,1451149500
2992067.62,24952.09298805361,b=b6&c=c3&d=d3;a=a5&b=b25&c=c1,0.0001475099570235955,1450824000
10439829.9575,79743.40773840126,a=a1&b=b19&d=d10;a=a4&b=b13&d=d7,0.0008346388189640048,1450870500
2804867.1450000005,21154.000488117792,a=a3&c=c1&d=d8;b=b16&c=c4&d=d6,0.005715867618046738,1451170500
10580938.2175,78314.97177274896,a=a1&b=b20&d=d3;b=b24&c=c7&d=d1,0.000423665608596375,1451030400
9037999.0025,70673.41474699722,a=a5&b=b14&d=d2;a=a4&b=b22&d=d1,0.0005767288811744695,1451107200
10091062.73,80192.03072047554,a=a3&b=b19&c=c4;b=b27&c=c7&d=d1,0.0017536162039641686,1451134800
9973338.265,78876.29445890142,a=a2&b=b35&d=d2;a=a1&c=c2&d=d7,0.0006296197986176604,1451047800
8790529.9925,65773.63680338798,a=a2&c=c2&d=d3;a=a6&b=b19&d=d8,0.0010568292185390339,1451186100
9630647.525,77320.30628431951,a=a3&c=c6&d=d3;a=a2&b=b10&d=d7,0.00036539762225398233,1451216700
10389655.8325,82302.47051696651,a=a2&b=b6&d=d9;b=b4&c=c4&d=d9,0.000122396108457129,1450871400
9630550.6025,78723.31193094213,a=a4&b=b3&c=c8;a=a6&b=b15&c=c1,0.001079384971844014,1451044500
9213859.8625,71977.67161004947,a=a5&b=b31&c=c1;b=b19&c=c6&d=d3,0.0003793026188727495,1450779000
10005430.8325,80301.67743462168,a=a1&c=c2&d=d8;a=a3&b=b20&c=c1,0.002117554143270603,1450936200
8507903.8575,67442.66770361322,a=a4&b=b1&d=d2;a=a1&c=c6&d=d3,0.0003957276411366633,1451103300
8848096.389999999,73612.10007761388,a=a1&b=b16&d=d10;a=a5&c=c1&d=d10,0.0008862596650240606,1451040600
10851007.529999996,86010.90002508106,a=a2&c=c4&d=d8;a=a1&c=c2&d=d7,0.01013785109093612,1450684200
11031429.9925,87859.0319482015,a=a1&b=b20&d=d3;a=a3&c=c1&d=d2,0.0032083820227452762,1450925400
3096325.2575000008,25782.118203234128,a=a3&b=b24&d=d7;a=a1&b=b1&d=d6,0.00029093181365989236,1450653900
8745111.09,69618.1737617534,a=a1&b=b35&c=c1;a=a6&b=b25&d=d4,0.0001622111116916509,1451212500
10326312.44,78454.50217171322,b=b28&c=c3&d=d6;a=a5&b=b10&d=d3,0.00011948356773509768,1450698900
11319824.0425,86586.03231349905,b=b7&c=c4&d=d2;a=a5&b=b22&c=c1,0.0006598451203091174,1450768560
11071544.5225,86820.75907244172,a=a3&b=b12&d=d8;a=a2&b=b20&d=d5,0.000823609629780366,1450944000
11099888.095,83801.8252210608,a=a1&b=b19&d=d4;a=a2&c=c2&d=d7,0.000841101677618267,1450667700
10305487.3625,78250.02546316269,a=a3&b=b30&c=c1;b=b20&c=c8&d=d5,0.0013665664979827061,1451132400
9175106.9,70124.74174771733,a=a4&b=b30&c=c8;a=a3&b=b15&c=c1,0.0007711246198853724,1450692600
9411257.4725,74220.61415177911,a=a2&b=b31&d=d2;a=a4&c=c3&d=d6,0.010763475811256144,1451112600
11030215.28,88301.38500286211,a=a4&b=b5&c=c2;a=a5&b=b26&c=c1,0.00025622920205776463,1450753500
10137321.035,81230.87967121856,a=a2&b=b6&d=d8;a=a6&c=c3&d=d10,0.0004974218460742839,1451046600
9412909.485,77909.19732727103,a=a1&b=b9&c=c4;a=a6&b=b22&c=c1,0.0033413475773618946,1451205000
10262101.195,82858.0451212052,a=a3&b=b3&d=d3;a=a2&b=b24&d=d3,0.0010479046159248594,1450960800
10274507.642499998,79850.93383058357,b=b9&c=c4&d=d8;a=a5&b=b26&d=d7,0.0019021487233350466,1450698060
10668028.4425,84399.78282621101,b=b20&c=c2&d=d3;b=b11&c=c6&d=d7,0.00021060312083499505,1451031900
8599269.19,68946.92907667467,a=a5&b=b30&c=c4;a=a1&b=b26&c=c4,0.0001768590893852147,1451124000
9672044.625,81351.97124599399,a=a4&b=b8&d=d2;a=a3&b=b26&d=d3,0.0004063264787591063,1451118000
9566131.02,75191.74064592451,a=a2&c=c4&d=d1;b=b14&c=c2&d=d6,0.009060154832554108,1450934400
11017403.375,89290.38637897525,a=a2&b=b10&c=c2;a=a4&b=b35&d=d6,0.0002446312270459114,1450666800
10377206.5025,85261.55521420107,a=a1&b=b8&d=d8;a=a6&c=c1&d=d7,0.014492995400991302,1450689300
10825453.665,82238.73415733807,b=b5&c=c3&d=d8;a=a6&c=c2&d=d1,0.0017500079180465052,1450938600
9668449.73,76905.00661678186,a=a1&b=b21&d=d6;a=a3&c=c5&d=d3,0.0002981091228201857,1451114100
10179686.9675,76387.94685028099,a=a3&b=b7&d=d10;b=b8&c=c7&d=d6,0.00012551934051656066,1451222400
9365840.135000002,74377.68555306591,b=b28&c=c4&d=d7;b=b19&c=c6&d=d4,0.0002130727644496848,1450866900
9223269.2125,75988.1912588997,a=a2&b=b25&c=c4;a=a2&b=b2&d=d2,0.0005427920970390693,1451120700
