normal_predict_amount,normal_predict_error,set,significance,timestamp
7559366.292499999,61262.60047963549,d=d1;b=b5,0.13735467528535628,1451019300
8702182.192499999,67796.01919187322,a=a1;b=b31,0.1548006739667045,1450857000
6932172.5875,56096.28519689093,d=d4;c=c2,0.11937664060072806,1450843800
6579181.9375,50656.87770280122,d=d3;a=a1,0.22161397270724495,1451109300
8913877.190000001,72433.29579337896,a=a6;b=b26,0.20732260590030746,1450682040
9324453.1925,72926.30457079549,b=b3;d=d7,0.07414251550615543,1450943160
6981592.7125,55667.932245263415,a=a1;c=c6,0.1722057815914486,1451188800
10105868.7475,79445.83835231668,b=b13;b=b21,0.03197521114264993,1451031000
7759454.4725,62792.40517571959,c=c6;a=a3,0.14594474572718974,1451202300
1081799.2475,8698.532156511668,c=c5;c=c1,0.4461280126680561,1451079000
5976114.155,48808.474419081125,d=d1;a=a3,0.27857289007227265,1451190000
10253550.79,84707.87729014749,b=b27;b=b20,0.04355815303271569,1450873800
2182096.5225,17711.303438741525,d=d3;d=d4,0.12601412621284264,1450736700
6994977.895,57936.389089105556,d=d8;a=a3,0.13727690072045212,1451020800
10012898.99,77277.80136199149,b=b11;b=b22,0.04172082626457483,1450924800
9086724.89,74592.68041368182,c=c7;d=d4,0.09876017051552116,1450876800
8716574.092500001,71512.10123463371,d=d7;c=c6,0.1357568649105159,1451025000
2940606.8275,21825.728080837438,b=b35;b=b30,0.02689766796526595,1450911300
6366558.9525,51937.70223727151,a=a6;d=d5,0.20894824535957635,1451211600
7374756.94,59025.65574054926,b=b5;a=a4,0.14635438999024658,1451200800
6475819.3575,49427.22484954733,a=a3;c=c2,0.2129017168280185,1451103900
4298424.7875,34816.223665428064,c=c1;a=a1,0.6266071652377161,1451022300
9214705.375,77326.86136471295,d=d7;b=b20,0.1505727034858692,1450685460
1931861.1475000004,16212.669954859704,a=a2;a=a6,0.32812366067571197,1450894200
8494383.285,63440.65473708827,c=c8;c=c2,0.05111553426389947,1451198400
7771455.64,65969.84482925813,b=b30;c=c2,0.0947458905691634,1451097900
6608678.409999998,50029.92314287122,d=d4;d=d3,0.14756646404668236,1450846200
7168417.495,55848.94300496222,a=a1;c=c6,0.1744073003309035,1450757400
8665545.474999998,72204.71884778679,b=b30;d=d1,0.12126241710158232,1450752600
3891439.72,31263.487907482406,d=d2;b=b30,0.08525550260836033,1451149500
2354148.055,19785.633643070727,c=c3;d=d4,0.13619696113361635,1450824000
8316528.09,69967.36138383497,c=c8;a=a2,0.16381290761461287,1450870500
2456007.955,20474.125636515324,b=b5;d=d1,0.1016173086249879,1451170500
9113462.675,78950.79689368646,b=b10;d=d2,0.101387960296422,1451030400
8670156.174999999,69735.64541807845,d=d10;b=b21,0.02680495279453022,1451107200
5182066.855,40566.24864410084,c=c7;c=c1,0.4842240129230111,1451134800
7317873.3500000015,58486.469043481826,b=b12;c=c4,0.2128615860897552,1451047800
7429124.54,61314.12682652076,b=b27;d=d1,0.06633399264651045,1451186100
7011133.3275,58117.08426185505,c=c7;c=c4,0.16996450969217292,1451216700
10060224.5825,79334.77397155232,b=b12;b=b3,0.022833208222195343,1450871400
4420980.117500002,33659.28515001044,c=c1;d=d4,0.5544366827860135,1451044500
6835629.935,53974.29913097017,a=a5;a=a1,0.13783880035986815,1450779000
6678359.4825,49421.999543266575,a=a6;d=d4,0.2815884575573252,1450936200
5773582.685000001,47321.570946382555,d=d1;a=a4,0.2706111593817682,1451103300
6865682.782500002,55176.153680026364,a=a4;b=b21,0.13856370093687426,1451040600
8599568.475,74735.31471068527,d=d4;d=d5,0.1487627748672996,1450684200
10499226.075,80342.09698426128,c=c8;c=c6,0.03727288598316384,1450925400
2415828.45,20359.268307429636,b=b25;a=a4,0.13747543923686792,1450653900
7119496.504999999,54712.26177810894,a=a1;d=d10,0.0833582628052052,1451212500
8152776.925000002,64442.95932437874,c=c2;a=a1,0.152054858916083,1450698900
10286873.0925,80409.92191192723,c=c2;c=c8,0.04837266507333183,1450768560
6613553.435000001,55613.79890315418,a=a6;a=a4,0.36325399037116335,1450944000
9375443.505,74846.08452489229,a=a5;d=d5,0.13980713049887766,1450667700
7615010.715,58684.33140763469,d=d5;a=a2,0.2211044030139662,1451132400
6425025.9525000015,47528.855370887424,a=a2;d=d3,0.26635129057226764,1450692600
8065715.9675,64208.46615662418,b=b11;b=b10,0.07672820851257632,1451112600
7749712.72,61983.369480709414,a=a3;d=d1,0.1617707401300916,1450753500
7683771.1000000015,59206.8715834378,d=d3;d=d6,0.13881458373984704,1451046600
8203874.1775,67298.06922242383,d=d8;b=b15,0.05735038741766865,1451205000
9833485.185,77927.70865970987,b=b16;d=d10,0.039688322559876456,1450960800
8707215.4975,73899.28125967686,d=d7;c=c8,0.13482931206667045,1450698060
8550778.715,68520.60789006764,b=b11;d=d8,0.13578765106058774,1451031900
7579671.487500002,63542.00615948798,b=b25;a=a5,0.1028496284167627,1451124000
7969044.69,64001.04655641674,a=a5;d=d5,0.12600720644066274,1451118000
6977427.210000001,59312.67457410983,a=a3;d=d3,0.2514929589671093,1450934400
10603358.375,86977.48284646116,c=c7;c=c6,0.02578586263218956,1450666800
8937106.200000001,69652.05978305642,a=a5;c=c2,0.07601780219783967,1450689300
8531086.7025,67350.39062011031,b=b30;a=a3,0.16329583408499712,1450938600
7166939.3925,55845.87848911794,a=a1;a=a5,0.13672100708684964,1451114100
7698669.1275,60901.12283163445,d=d5;d=d1,0.14091175233743433,1451222400
7448872.8425,56850.17017771872,d=d10;a=a2,0.1561272968428076,1450866900
8175700.8175,64938.64047273666,b=b6;a=a5,0.08377936354249772,1451120700
